,0,1,2
0,2B,Tommy Edman,S
1,1B,P. Goldschmidt,R
2,LF,T. O'Neill,R
3,3B,N. Arenado,R
4,C,Y. Molina,R
5,RF,D. Carlson,S
6,SS,Edmundo Sosa,R
7,CF,H. Bader,R
8,P,J.A. Happ,L
9,C,W. Contreras,R
10,1B,F. Schwindel,R
11,LF,Ian Happ,S
12,3B,P. Wisdom,R
13,2B,Matt Duffy,R
14,SS,Nico Hoerner,R
15,RF,T. Thompson,R
16,CF,R. Ortega,L
17,P,J. Steele,L
18,CF,L. Taveras,S
19,SS,I. Kiner-Falefa,R
20,RF,A. Garcia,R
21,LF,DJ Peters,R
22,1B,N. Lowe,L
23,DH,Nick Solak,R
24,3B,C. Culberson,R
25,2B,Andy Ibanez,R
26,C,Jose Trevino,R
27,CF,C. Mullins,L
28,1B,R. Mountcastle,R
29,DH,Trey Mancini,R
30,RF,A. Santander,S
31,LF,Austin Hays,R
32,SS,Pat Valaika,R
33,C,P. Severino,R
34,2B,Jahmai Jones,R
35,3B,K. Gutierrez,R
36,3B,K. Hayes,R
37,RF,Y. Tsutsugo,L
38,CF,B. Reynolds,S
39,1B,Colin Moran,L
40,LF,Ben Gamel,L
41,SS,Kevin Newman,R
42,C,M. Perez,L
43,2B,Hoy Park,L
44,P,Sam Howard,R
45,CF,O. Herrera,L
46,2B,Jean Segura,R
47,RF,Bryce Harper,L
48,C,J. Realmuto,R
49,SS,D. Gregorius,L
50,LF,A. McCutchen,R
51,1B,Brad Miller,L
52,3B,F. Galvis,S
53,P,Kyle Gibson,R
54,3B,DJ LeMahieu,R
55,1B,A. Rizzo,L
56,RF,Aaron Judge,R
57,DH,G. Stanton,R
58,LF,Joey Gallo,L
59,2B,G. Torres,R
60,C,Gary Sanchez,R
61,SS,Gio Urshela,R
62,CF,B. Gardner,L
63,2B,E. Hernandez,R
64,LF,K. Schwarber,L
65,SS,X. Bogaerts,R
66,3B,R. Devers,L
67,DH,J. Martinez,R
68,CF,Alex Verdugo,L
69,RF,H. Renfroe,R
70,1B,Bobby Dalbec,R
71,C,C. Vazquez,R
72,SS,Tim Anderson,R
73,3B,Yoan Moncada,S
74,1B,Jose Abreu,R
75,C,Y. Grandal,S
76,CF,Luis Robert,R
77,LF,Eloy Jimenez,R
78,RF,Leury Garcia,S
79,DH,A. Vaughn,R
80,2B,C. Hernandez,S
81,CF,Myles Straw,R
82,RF,B. Zimmer,L
83,3B,Jose Ramirez,S
84,DH,F. Reyes,R
85,1B,B. Bradley,L
86,LF,H. Ramirez,R
87,2B,Yu Chang,R
88,C,R. Perez,R
89,SS,A. Gimenez,L
90,2B,W. Merrifield,R
91,SS,Nicky Lopez,L
92,C,S. Perez,R
93,LF,A. Benintendi,L
94,1B,C. Santana,S
95,DH,A. Mondesi,S
96,CF,M. Taylor,R
97,RF,H. Dozier,R
98,3B,H. Alberto,R
99,CF,Victor Reyes,S
100,2B,J. Schoop,R
101,LF,R. Grossman,S
102,1B,M. Cabrera,R
103,3B,J. Candelario,S
104,DH,Eric Haase,R
105,RF,Daz Cameron,R
106,C,D. Garneau,R
107,SS,Niko Goodrum,S
108,CF,Lane Thomas,R
109,SS,A. Escobar,R
110,RF,Juan Soto,L
111,1B,Josh Bell,S
112,C,Keibert Ruiz,S
113,3B,C. Kieboom,R
114,LF,A. Stevenson,L
115,2B,Luis Garcia,L
116,P,Paolo Espino,R
117,2B,J. India,R
118,LF,Max Schrock,L
119,RF,N. Castellanos,R
120,1B,Joey Votto,L
121,SS,Kyle Farmer,R
122,3B,E. Suarez,R
123,C,T. Barnhart,L
124,CF,TJ Friedl,L
125,P,Sonny Gray,R
126,SS,Miguel Rojas,R
127,2B,J. Chisholm,L
128,LF,L. Brinson,R
129,RF,J. Sanchez,L
130,CF,B. De La Cruz,R
131,1B,Lewin Diaz,L
132,DH,Alex Jackson,R
133,C,Payton Henry,R
134,3B,Eddy Alvarez,S
135,2B,Brandon Lowe,L
136,RF,R. Arozarena,R
137,DH,Nelson Cruz,R
138,1B,Ji-Man Choi,L
139,3B,Yandy Diaz,R
140,LF,A. Meadows,L
141,SS,Joey Wendle,L
142,C,Mike Zunino,R
143,CF,K. Kiermaier,L
144,2B,Tommy Edman,S
145,1B,P. Goldschmidt,R
146,LF,T. O'Neill,R
147,3B,N. Arenado,R
148,RF,D. Carlson,S
149,C,Y. Molina,R
150,SS,Edmundo Sosa,R
151,CF,H. Bader,R
152,P,J. Flaherty,R
153,CF,R. Ortega,L
154,1B,F. Schwindel,R
155,C,W. Contreras,R
156,3B,P. Wisdom,R
157,LF,Ian Happ,S
158,2B,Matt Duffy,R
159,SS,Nico Hoerner,R
160,RF,T. Thompson,R
161,P,Zach Davies,R
162,CF,B. Nimmo,L
163,SS,F. Lindor,S
164,RF,M. Conforto,L
165,1B,Pete Alonso,R
166,2B,Javier Baez,R
167,LF,Jeff McNeil,L
168,3B,J. Villar,S
169,C,James McCann,R
170,P,Tylor Megill,R
171,2B,Kolten Wong,L
172,LF,C. Yelich,L
173,SS,Willy Adames,R
174,1B,E. Escobar,S
175,3B,Luis Urias,R
176,C,Omar Narvaez,L
177,RF,A. Garcia,R
178,CF,Lorenzo Cain,R
179,P,Eric Lauer,R
180,DH,G. Springer,R
181,2B,M. Semien,R
182,1B,V. Guerrero,R
183,SS,Bo Bichette,R
184,RF,T. Hernandez,R
185,C,A. Kirk,R
186,LF,L. Gurriel,R
187,CF,R. Grichuk,R
188,3B,B. Valera,S
189,3B,Luis Arraez,L
190,CF,Byron Buxton,R
191,2B,J. Polanco,S
192,DH,J. Donaldson,R
193,RF,Max Kepler,L
194,1B,Miguel Sano,R
195,C,Mitch Garver,R
196,LF,Brent Rooker,R
197,SS,A. Simmons,R
198,2B,T. La Stella,L
199,1B,Brandon Belt,L
200,C,Buster Posey,R
201,LF,A. Dickerson,L
202,RF,Kris Bryant,R
203,SS,B. Crawford,L
204,CF,M. Yastrzemski,L
205,3B,E. Longoria,R
206,P,Alex Wood,R
207,2B,B. Rodgers,R
208,CF,G. Hampson,R
209,SS,Trevor Story,R
210,1B,C.J. Cron,R
211,RF,C. Blackmon,L
212,LF,Ryan Vilade,R
213,3B,C. Welker,R
214,C,Elias Diaz,R
215,P,P. Lambert,R
216,SS,J. Crawford,L
217,RF,M. Haniger,R
218,1B,Ty France,R
219,3B,Kyle Seager,L
220,2B,Abraham Toro,S
221,DH,Luis Torrens,R
222,C,Tom Murphy,R
223,CF,J. Kelenic,L
224,LF,Dylan Moore,R
225,CF,B. Marsh,L
226,DH,S. Ohtani,L
227,LF,P. Gosselin,R
228,1B,Jared Walsh,L
229,SS,Luis Rengifo,S
230,RF,Jose Rojas,L
231,C,Max Stassi,R
232,3B,J. Mayfield,R
233,2B,D. Fletcher,R
234,2B,Jose Altuve,R
235,3B,Alex Bregman,R
236,SS,C. Correa,R
237,DH,Y. Alvarez,L
238,1B,Yuli Gurriel,R
239,RF,Kyle Tucker,L
240,LF,C. McCormick,R
241,CF,Jake Meyers,R
242,C,M. Maldonado,R
243,2B,J. Harrison,R
244,CF,S. Marte,R
245,1B,Matt Olson,L
246,3B,Matt Chapman,R
247,DH,Jed Lowrie,S
248,RF,Mark Canha,R
249,C,Yan Gomes,R
250,LF,Tony Kemp,L
251,SS,Elvis Andrus,R
252,CF,Mookie Betts,R
253,1B,Max Muncy,L
254,2B,Trea Turner,R
255,3B,J. Turner,R
256,SS,Corey Seager,L
257,C,Will Smith,R
258,LF,AJ Pollock,R
259,RF,Chris Taylor,R
260,P,T. Gonsolin,R
261,2B,Josh Rojas,L
262,CF,Ketel Marte,S
263,3B,J. VanMeter,L
264,C,Carson Kelly,R
265,LF,D. Peralta,L
266,1B,Pavin Smith,L
267,SS,Nick Ahmed,R
268,RF,D. Varsho,L
269,P,H. Castellanos,R
270,2B,Ozzie Albies,S
271,RF,Jorge Soler,R
272,1B,F. Freeman,L
273,3B,Austin Riley,R
274,CF,Adam Duvall,R
275,C,T. d'Arnaud,R
276,SS,D. Swanson,R
277,LF,E. Rosario,L
278,P,Max Fried,L
279,SS,F. Tatis,R
280,3B,M. Machado,R
281,LF,Tommy Pham,R
282,RF,Wil Myers,R
283,1B,J. Profar,S
284,C,Austin Nola,R
285,CF,T. Grisham,L
286,2B,Ha-Seong Kim,R
287,P,P. Johnson,R
