,0,1
0,J.A. Happ,L
1,Justin Steele,L
2,Drew Anderson,R
3,Alexander Wells,L
4,Miguel Yajure,R
5,Kyle Gibson,R
6,Gerrit Cole,R
7,Nathan Eovaldi,R
8,Dylan Cease,R
9,Shane Bieber,R
10,Carlos Hernandez,R
11,Casey Mize,R
12,Paolo Espino,R
13,Sonny Gray,R
14,Edward Cabrera,R
15,Ryan Yarbrough,L
16,Kwang Hyun Kim,L
17,Zach Davies,R
18,Tylor Megill,R
19,Eric Lauer,L
20,Jose Berrios,R
21,Bailey Ober,R
22,Alex Wood,L
23,Peter Lambert,R
24,Logan Gilbert,R
25,Jose Suarez,L
26,Zack Greinke,R
27,Frankie Montas,R
28,Tony Gonsolin,R
29,H. Castellanos,R
30,Max Fried,L
31,Nabil Crismatt,R
